method_id,method_name,N,gang_count,worker_count,set,run,delaylength,outerreps,exec_time_us
1,"copy(a[0:N])",4,132,32,1,0,2,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,0,4,0,21.950000000
1,"copy(a[0:N])",4,132,32,1,0,472,0,24.550000000
1,"copy(a[0:N])",4,132,32,1,0,3140,0,40.850000000
1,"copy(a[0:N])",4,132,32,1,0,183,0,22.850000000
1,"copy(a[0:N])",4,132,32,1,0,28,0,22.000000000
1,"copy(a[0:N])",4,132,32,1,0,71,0,22.300000000
1,"copy(a[0:N])",4,132,32,1,0,1218,0,29.300000000
1,"copy(a[0:N])",4,132,32,1,0,294,0,23.800000000
1,"copy(a[0:N])",4,132,32,1,0,1,0,21.850000000
1,"copy(a[0:N])",4,132,32,1,0,7,0,22.050000000
1,"copy(a[0:N])",4,132,32,1,0,1955,0,34.100000000
1,"copy(a[0:N])",4,132,32,1,0,758,0,26.600000000
1,"copy(a[0:N])",4,132,32,1,0,114,0,22.850000000
1,"copy(a[0:N])",4,132,32,1,0,11,0,22.000000000
1,"copy(a[0:N])",4,132,32,1,0,3,0,21.700000000
1,"copy(a[0:N])",4,132,32,1,0,8096,0,70.200000000
1,"copy(a[0:N])",4,132,32,1,0,44,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,0,17,0,21.900000000
1,"copy(a[0:N])",4,132,32,1,0,5042,0,51.850000000
1,"copy(a[0:N])",4,132,32,1,1,758,0,26.600000000
1,"copy(a[0:N])",4,132,32,1,1,3,0,22.750000000
1,"copy(a[0:N])",4,132,32,1,1,3140,0,40.900000000
1,"copy(a[0:N])",4,132,32,1,1,1955,0,33.750000000
1,"copy(a[0:N])",4,132,32,1,1,44,0,22.000000000
1,"copy(a[0:N])",4,132,32,1,1,17,0,21.850000000
1,"copy(a[0:N])",4,132,32,1,1,294,0,23.900000000
1,"copy(a[0:N])",4,132,32,1,1,28,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,1,114,0,22.650000000
1,"copy(a[0:N])",4,132,32,1,1,2,0,21.750000000
1,"copy(a[0:N])",4,132,32,1,1,7,0,22.050000000
1,"copy(a[0:N])",4,132,32,1,1,183,0,23.000000000
1,"copy(a[0:N])",4,132,32,1,1,8096,0,70.300000000
1,"copy(a[0:N])",4,132,32,1,1,11,0,22.150000000
1,"copy(a[0:N])",4,132,32,1,1,1,0,21.700000000
1,"copy(a[0:N])",4,132,32,1,1,1218,0,29.250000000
1,"copy(a[0:N])",4,132,32,1,1,472,0,24.700000000
1,"copy(a[0:N])",4,132,32,1,1,71,0,22.400000000
1,"copy(a[0:N])",4,132,32,1,1,5042,0,52.150000000
1,"copy(a[0:N])",4,132,32,1,1,4,0,21.800000000
1,"copy(a[0:N])",4,132,32,1,2,2,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,2,71,0,22.250000000
1,"copy(a[0:N])",4,132,32,1,2,17,0,22.000000000
1,"copy(a[0:N])",4,132,32,1,2,472,0,24.700000000
1,"copy(a[0:N])",4,132,32,1,2,5042,0,52.000000000
1,"copy(a[0:N])",4,132,32,1,2,28,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,2,44,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,2,1218,0,29.400000000
1,"copy(a[0:N])",4,132,32,1,2,4,0,21.850000000
1,"copy(a[0:N])",4,132,32,1,2,1955,0,33.500000000
1,"copy(a[0:N])",4,132,32,1,2,183,0,23.100000000
1,"copy(a[0:N])",4,132,32,1,2,7,0,22.100000000
1,"copy(a[0:N])",4,132,32,1,2,758,0,26.600000000
1,"copy(a[0:N])",4,132,32,1,2,1,0,21.850000000
1,"copy(a[0:N])",4,132,32,1,2,3140,0,40.750000000
1,"copy(a[0:N])",4,132,32,1,2,8096,0,70.200000000
1,"copy(a[0:N])",4,132,32,1,2,3,0,21.750000000
1,"copy(a[0:N])",4,132,32,1,2,114,0,22.400000000
1,"copy(a[0:N])",4,132,32,1,2,11,0,21.850000000
1,"copy(a[0:N])",4,132,32,1,2,294,0,23.600000000
1,"copy(a[0:N])",4,132,32,1,3,1,0,21.900000000
1,"copy(a[0:N])",4,132,32,1,3,17,0,22.050000000
1,"copy(a[0:N])",4,132,32,1,3,294,0,23.600000000
1,"copy(a[0:N])",4,132,32,1,3,5042,0,52.050000000
1,"copy(a[0:N])",4,132,32,1,3,114,0,22.600000000
1,"copy(a[0:N])",4,132,32,1,3,28,0,22.500000000
