method_id,method_name,N,gang_count,worker_count,set,run,delaylength,outerreps,exec_time_us
8,"parallel loop atomic",16,132,32,0,0,7,0,14.550000000
8,"parallel loop atomic",16,132,32,0,0,114,0,15.700000000
8,"parallel loop atomic",16,132,32,0,0,3,0,14.500000000
8,"parallel loop atomic",16,132,32,0,0,17,0,14.850000000
8,"parallel loop atomic",16,132,32,0,0,1,0,14.650000000
8,"parallel loop atomic",16,132,32,0,0,44,0,14.950000000
8,"parallel loop atomic",16,132,32,0,0,294,0,20.650000000
8,"parallel loop atomic",16,132,32,0,0,3140,0,95.400000000
8,"parallel loop atomic",16,132,32,0,0,4,0,14.700000000
8,"parallel loop atomic",16,132,32,0,0,1955,0,64.650000000
8,"parallel loop atomic",16,132,32,0,0,183,0,17.400000000
8,"parallel loop atomic",16,132,32,0,0,8096,0,225.500000000
8,"parallel loop atomic",16,132,32,0,0,758,0,32.850000000
8,"parallel loop atomic",16,132,32,0,0,71,0,15.050000000
8,"parallel loop atomic",16,132,32,0,0,2,0,14.500000000
8,"parallel loop atomic",16,132,32,0,0,11,0,14.900000000
8,"parallel loop atomic",16,132,32,0,0,28,0,14.850000000
8,"parallel loop atomic",16,132,32,0,0,5042,0,145.400000000
8,"parallel loop atomic",16,132,32,0,0,1218,0,45.050000000
8,"parallel loop atomic",16,132,32,0,0,472,0,25.600000000
8,"parallel loop atomic",16,132,32,0,1,4,0,14.650000000
8,"parallel loop atomic",16,132,32,0,1,1,0,14.400000000
8,"parallel loop atomic",16,132,32,0,1,17,0,14.650000000
8,"parallel loop atomic",16,132,32,0,1,28,0,14.850000000
8,"parallel loop atomic",16,132,32,0,1,11,0,14.500000000
8,"parallel loop atomic",16,132,32,0,1,3140,0,95.650000000
8,"parallel loop atomic",16,132,32,0,1,2,0,14.500000000
8,"parallel loop atomic",16,132,32,0,1,758,0,33.200000000
8,"parallel loop atomic",16,132,32,0,1,1218,0,44.900000000
8,"parallel loop atomic",16,132,32,0,1,44,0,14.900000000
8,"parallel loop atomic",16,132,32,0,1,71,0,15.050000000
8,"parallel loop atomic",16,132,32,0,1,114,0,15.500000000
8,"parallel loop atomic",16,132,32,0,1,294,0,21.150000000
8,"parallel loop atomic",16,132,32,0,1,7,0,14.750000000
8,"parallel loop atomic",16,132,32,0,1,183,0,17.450000000
8,"parallel loop atomic",16,132,32,0,1,8096,0,225.900000000
8,"parallel loop atomic",16,132,32,0,1,472,0,25.400000000
8,"parallel loop atomic",16,132,32,0,1,1955,0,64.600000000
8,"parallel loop atomic",16,132,32,0,1,3,0,14.700000000
8,"parallel loop atomic",16,132,32,0,1,5042,0,145.900000000
8,"parallel loop atomic",16,132,32,0,2,3,0,14.650000000
8,"parallel loop atomic",16,132,32,0,2,44,0,14.950000000
8,"parallel loop atomic",16,132,32,0,2,1,0,14.550000000
8,"parallel loop atomic",16,132,32,0,2,183,0,17.650000000
8,"parallel loop atomic",16,132,32,0,2,294,0,20.800000000
8,"parallel loop atomic",16,132,32,0,2,5042,0,145.550000000
8,"parallel loop atomic",16,132,32,0,2,7,0,14.850000000
8,"parallel loop atomic",16,132,32,0,2,8096,0,225.750000000
8,"parallel loop atomic",16,132,32,0,2,2,0,14.500000000
8,"parallel loop atomic",16,132,32,0,2,114,0,15.650000000
8,"parallel loop atomic",16,132,32,0,2,71,0,15.250000000
8,"parallel loop atomic",16,132,32,0,2,1955,0,64.300000000
8,"parallel loop atomic",16,132,32,0,2,17,0,15.000000000
8,"parallel loop atomic",16,132,32,0,2,472,0,25.250000000
8,"parallel loop atomic",16,132,32,0,2,11,0,14.700000000
8,"parallel loop atomic",16,132,32,0,2,1218,0,45.000000000
8,"parallel loop atomic",16,132,32,0,2,4,0,14.450000000
8,"parallel loop atomic",16,132,32,0,2,3140,0,95.600000000
8,"parallel loop atomic",16,132,32,0,2,758,0,33.350000000
8,"parallel loop atomic",16,132,32,0,2,28,0,14.900000000
8,"parallel loop atomic",16,132,32,0,3,11,0,14.600000000
8,"parallel loop atomic",16,132,32,0,3,4,0,14.600000000
8,"parallel loop atomic",16,132,32,0,3,5042,0,145.500000000
8,"parallel loop atomic",16,132,32,0,3,183,0,17.450000000
8,"parallel loop atomic",16,132,32,0,3,17,0,15.050000000
8,"parallel loop atomic",16,132,32,0,3,3,0,14.600000000
8,"parallel loop atomic",16,132,32,0,3,28,0,14.950000000
8,"parallel loop atomic",16,132,32,0,3,1218,0,45.250000000
8,"parallel loop atomic",16,132,32,0,3,114,0,15.600000000
8,"parallel loop atomic",16,132,32,0,3,758,0,32.800000000
8,"parallel loop atomic",16,132,32,0,3,1955,0,64.150000000
8,"parallel loop atomic",16,132,32,0,3,472,0,25.200000000
8,"parallel loop atomic",16,132,32,0,3,7,0,14.700000000
8,"parallel loop atomic",16,132,32,0,3,44,0,15.000000000
8,"parallel loop atomic",16,132,32,0,3,3140,0,95.650000000
8,"parallel loop atomic",16,132,32,0,3,8096,0,226.050000000
8,"parallel loop atomic",16,132,32,0,3,71,0,15.150000000
8,"parallel loop atomic",16,132,32,0,3,1,0,14.550000000
8,"parallel loop atomic",16,132,32,0,3,2,0,14.500000000
8,"parallel loop atomic",16,132,32,0,3,294,0,20.850000000
8,"parallel loop atomic",16,132,32,0,4,3,0,14.800000000
8,"parallel loop atomic",16,132,32,0,4,8096,0,226.350000000
8,"parallel loop atomic",16,132,32,0,4,1,0,14.600000000
8,"parallel loop atomic",16,132,32,0,4,28,0,15.100000000
8,"parallel loop atomic",16,132,32,0,4,17,0,14.750000000
8,"parallel loop atomic",16,132,32,0,4,5042,0,145.400000000
8,"parallel loop atomic",16,132,32,0,4,7,0,14.600000000
8,"parallel loop atomic",16,132,32,0,4,114,0,15.700000000
8,"parallel loop atomic",16,132,32,0,4,44,0,14.950000000
8,"parallel loop atomic",16,132,32,0,4,2,0,14.600000000
8,"parallel loop atomic",16,132,32,0,4,294,0,20.700000000
8,"parallel loop atomic",16,132,32,0,4,758,0,33.100000000
8,"parallel loop atomic",16,132,32,0,4,183,0,17.550000000
8,"parallel loop atomic",16,132,32,0,4,4,0,14.700000000
8,"parallel loop atomic",16,132,32,0,4,1218,0,45.350000000
8,"parallel loop atomic",16,132,32,0,4,71,0,15.100000000
8,"parallel loop atomic",16,132,32,0,4,1955,0,64.550000000
8,"parallel loop atomic",16,132,32,0,4,11,0,14.850000000
8,"parallel loop atomic",16,132,32,0,4,472,0,25.600000000
8,"parallel loop atomic",16,132,32,0,4,3140,0,95.550000000
8,"parallel loop atomic",16,132,32,1,0,2,0,14.450000000
8,"parallel loop atomic",16,132,32,1,0,4,0,14.500000000
8,"parallel loop atomic",16,132,32,1,0,472,0,25.150000000
8,"parallel loop atomic",16,132,32,1,0,3140,0,95.450000000
8,"parallel loop atomic",16,132,32,1,0,183,0,17.500000000
8,"parallel loop atomic",16,132,32,1,0,28,0,14.750000000
8,"parallel loop atomic",16,132,32,1,0,71,0,15.250000000
8,"parallel loop atomic",16,132,32,1,0,1218,0,45.300000000
8,"parallel loop atomic",16,132,32,1,0,294,0,20.900000000
8,"parallel loop atomic",16,132,32,1,0,1,0,14.500000000
8,"parallel loop atomic",16,132,32,1,0,7,0,14.700000000
8,"parallel loop atomic",16,132,32,1,0,1955,0,64.450000000
8,"parallel loop atomic",16,132,32,1,0,758,0,32.950000000
8,"parallel loop atomic",16,132,32,1,0,114,0,15.850000000
8,"parallel loop atomic",16,132,32,1,0,11,0,14.650000000
